10 ^        -2 x  3.8161287125700703,
10 ^        -1 x  1.8934703728506336,
10 ^        -1 x  1.8047893765167399,
10 ^        -2 x  3.7923244151499937,
10 ^        -1 x  1.8047893765167399,
10 ^        -1 x  1.7161019965334697,
10 ^        -2 x  3.7685022452196381,
10 ^        -1 x  1.7161019965334697,
10 ^        -1 x  1.6274088788950503,
10 ^        -2 x  3.7446650451198131,
10 ^        -1 x  1.6274088788950503,
10 ^        -1 x  1.5387106083730055,
10 ^        -2 x  3.7208153752680299,
10 ^        -1 x  1.5387106083730055,
10 ^        -1 x  1.4500077149549286,
10 ^        -2 x  3.6969555431596892,
10 ^        -1 x  1.4500077149549286,
10 ^        -1 x  1.3613006795252171,
10 ^        -2 x  3.6730876291436511,
10 ^        -1 x  1.3613006795252171,
10 ^        -1 x  1.2725899388865734,
10 ^        -2 x  3.6492135093576996,
10 ^        -1 x  1.2725899388865734,
10 ^        -1 x  1.1838758902070089,
10 ^        -2 x  3.6253348761607953,
10 ^        -1 x  1.1838758902070089,
10 ^        -1 x  1.0951588949651824,
10 ^        -2 x  3.6014532563566920,
10 ^        -1 x  1.0951588949651824,
10 ^        -1 x  1.0064392824568016,
10 ^        -2 x  3.5775700274666660,
10 ^        -1 x  1.0064392824568016,
10 ^        -2 x  9.1771735291622958,
10 ^        -2 x  3.5536864322770743,
10 ^        -2 x  9.1771735291622958,
10 ^        -2 x  8.2899338030012408,
10 ^        -2 x  3.5298035918595764,
10 ^        -2 x  8.2899338030012408,
10 ^        -2 x  7.4026761477369026,
10 ^        -2 x  3.5059225172375891,
10 ^        -2 x  7.4026761477369026,
10 ^        -2 x  6.5154028493478447,
10 ^        -2 x  3.4820441198514077,
10 ^        -2 x  6.5154028493478447,
10 ^        -2 x  5.6281159980652743,
10 ^        -2 x  3.4581692209560102,
10 ^        -2 x  5.6281159980652743,
10 ^        -2 x  4.7408175062514966,
10 ^        -2 x  3.4342985600694927,
10 ^        -2 x  4.7408175062514966,
10 ^        -2 x  3.8535091244640582,
10 ^        -2 x  3.4104328025760689,
10 ^        -2 x  3.8535091244640582,
10 ^        -2 x  2.9661924559097432,
10 ^        -2 x  3.3865725465753077,
10 ^        -2 x  2.9661924559097432,
10 ^        -2 x  2.0788689694673508,
10 ^        -2 x  3.3627183290585767,
10 ^        -2 x  2.0788689694673508,
10 ^        -2 x  1.1915400114363405,
10 ^        -2 x  3.3388706314842744,
10 ^        -2 x  1.1915400114363405,
10 ^        -3 x  3.0420681614948988,
10 ^        -2 x  3.3150298848152195,
10 ^        -3 x  3.0420681614948988,
10 ^        -3 x -5.8312948442875481,
10 ^        -2 x  3.2911964740743504,
10 ^        -3 x -5.8312948442875481,
10 ^        -2 x -1.4704678520108711,
10 ^        -2 x  3.2673707424685608,
10 ^        -2 x -1.4704678520108711,
10 ^        -2 x -2.3578073341069291,
10 ^        -2 x  3.2435529951249229,
10 ^        -2 x -2.3578073341069291,
10 ^        -2 x -3.2451470568733714,
10 ^        -2 x  3.2197435024786563,
10 ^        -2 x -3.2451470568733714,
10 ^        -2 x -4.1324862186154839,
10 ^        -2 x  3.1959425033478737,
10 ^        -2 x -4.1324862186154839,
10 ^        -2 x -5.0198240838774959,
10 ^        -2 x  3.1721502077263323,
10 ^        -2 x -5.0198240838774959,
10 ^        -2 x -5.9071599780615870,
10 ^        -2 x  3.1483667993220487,
10 ^        -2 x -5.9071599780615870,
10 ^        -2 x -6.7944932825235254,
10 ^        -2 x  3.1245924378666635,
10 ^        -2 x -6.7944932825235254,
10 ^        -2 x -7.6818234300983416,
10 ^        -2 x  3.1008272612178058,
10 ^        -2 x -7.6818234300983416,
10 ^        -2 x -8.5691499010144462,
10 ^        -2 x  3.0770713872743751,
10 ^        -2 x -8.5691499010144462,
10 ^        -2 x -9.4564722191590183,
10 ^        -2 x  3.0533249157225871,
10 ^        -2 x -9.4564722191590183,
10 ^        -1 x -1.0343789948661401,
10 ^        -2 x  3.0295879296287897,
10 ^        -1 x -1.0343789948661401,
10 ^        -1 x -1.1231102690764701,
10 ^        -2 x  3.0058604968934232,
10 ^        -1 x -1.1231102690764701,
10 ^        -1 x -1.2118410080958844,
10 ^        -2 x  2.9821426715790406,
10 ^        -1 x -1.2118410080958844,
10 ^        -1 x -1.3005711786351090,
10 ^        -2 x  2.9584344951240083,
10 ^        -1 x -1.3005711786351090,
10 ^        -1 x -1.3893007503252394,
10 ^        -2 x  2.9347359974523521,
10 ^        -1 x -1.3893007503252394,
10 ^        -1 x -1.4780296954960189,
10 ^        -2 x  2.9110471979891790,
10 ^        -1 x -1.4780296954960189,
10 ^        -1 x -1.5667579889720060,
10 ^        -2 x  2.8873681065901838,
10 ^        -1 x -1.5667579889720060,
10 ^        -1 x -1.6554856078850516,
10 ^        -2 x  2.8636987243929234,
10 ^        -1 x -1.6554856078850516,
10 ^        -1 x -1.7442125315016571,
10 ^        -2 x  2.8400390445968019,
10 ^        -1 x -1.7442125315016571,
10 ^        -1 x -1.8329387410639244,
10 ^        -2 x  2.8163890531780481,
10 ^        -1 x -1.8329387410639244,
10 ^        -1 x -1.9216642196429289,
10 ^        -2 x  2.7927487295453709,
10 ^        -1 x -1.9216642196429289,
10 ^        -1 x -2.0103889520034569,
10 ^        -2 x  2.7691180471414449,
10 ^        -1 x -2.0103889520034569,
10 ^        -1 x -2.0991129244791499,
10 ^        -2 x  2.7454969739948983,
10 ^        -1 x -2.0991129244791499,
10 ^        -1 x -2.1878361248571830,
10 ^        -2 x  2.7218854732270430,
10 ^        -1 x -2.1878361248571830,
10 ^        -1 x -2.2765585422716876,
10 ^        -2 x  2.6982835035171983,
10 ^        -1 x -2.2765585422716876,
10 ^        -1 x -2.3652801671051985,
10 ^        -2 x  2.6746910195301073,
10 ^        -1 x -2.3652801671051985,
10 ^        -1 x -2.4540009908974709,
10 ^        -2 x  2.6511079723086329,
10 ^        -1 x -2.4540009908974709,
10 ^        -1 x -2.5427210062610707,
10 ^        -2 x  2.6275343096346286,
10 ^        -1 x -2.5427210062610707,
10 ^        -1 x -2.6314402068031947,
10 ^        -2 x  2.6039699763606269,
10 ^        -1 x -2.6314402068031947,
10 ^        -1 x -2.7201585870532252,
10 ^        -2 x  2.5804149147147518,
10 ^        -1 x -2.7201585870532252,
10 ^        -1 x -2.8088761423955643,
10 ^        -2 x  2.5568690645810507,
10 ^        -1 x -2.8088761423955643,
10 ^        -1 x -2.8975928690073356,
10 ^        -2 x  2.5333323637572509,
10 ^        -1 x -2.8975928690073356,
10 ^        -1 x -2.9863087638005741,
10 ^        -2 x  2.5098047481917709,
10 ^        -1 x -2.9863087638005741,
10 ^        -1 x -3.0750238243685575,
10 ^        -2 x  2.4862861522016613,
